          T    0     T    1     T    2     T    3     T    4     T    5     T    6     T    7     T    8     T    9     T   10     T   11     T   12     T   13     T   14
T  0	  0.0000     0.0097     0.0370     0.0088     0.0112     0.0106     0.0053     0.0065     0.0101     0.0103     0.0075     0.0095     0.0085     0.0105     0.0128
T  1	  0.0097     0.0000     0.0328     0.0037     0.0111     0.0066     0.0069     0.0084     0.0120     0.0134     0.0114     0.0120     0.0100     0.0106     0.0073
T  2	  0.0370     0.0328     0.0000     0.0337     0.0418     0.0333     0.0347     0.0385     0.0416     0.0447     0.0424     0.0435     0.0415     0.0269     0.0288
T  3	  0.0088     0.0037     0.0337     0.0000     0.0092     0.0041     0.0047     0.0066     0.0091     0.0117     0.0097     0.0102     0.0088     0.0102     0.0068
T  4	  0.0112     0.0111     0.0418     0.0092     0.0000     0.0088     0.0098     0.0056     0.0042     0.0056     0.0058     0.0051     0.0042     0.0174     0.0137
T  5	  0.0106     0.0066     0.0333     0.0041     0.0088     0.0000     0.0069     0.0075     0.0091     0.0126     0.0110     0.0115     0.0096     0.0108     0.0052
T  6	  0.0053     0.0069     0.0347     0.0047     0.0098     0.0069     0.0000     0.0053     0.0084     0.0106     0.0081     0.0093     0.0087     0.0089     0.0095
T  7	  0.0065     0.0084     0.0385     0.0066     0.0056     0.0075     0.0053     0.0000     0.0056     0.0066     0.0046     0.0056     0.0046     0.0132     0.0117
T  8	  0.0101     0.0120     0.0416     0.0091     0.0042     0.0091     0.0084     0.0056     0.0000     0.0054     0.0051     0.0047     0.0057     0.0164     0.0139
T  9	  0.0103     0.0134     0.0447     0.0117     0.0056     0.0126     0.0106     0.0066     0.0054     0.0000     0.0030     0.0017     0.0044     0.0191     0.0172
T 10	  0.0075     0.0114     0.0424     0.0097     0.0058     0.0110     0.0081     0.0046     0.0051     0.0030     0.0000     0.0024     0.0037     0.0164     0.0153
T 11	  0.0095     0.0120     0.0435     0.0102     0.0051     0.0115     0.0093     0.0056     0.0047     0.0017     0.0024     0.0000     0.0037     0.0179     0.0160
T 12	  0.0085     0.0100     0.0415     0.0088     0.0042     0.0096     0.0087     0.0046     0.0057     0.0044     0.0037     0.0037     0.0000     0.0165     0.0137
T 13	  0.0105     0.0106     0.0269     0.0102     0.0174     0.0108     0.0089     0.0132     0.0164     0.0191     0.0164     0.0179     0.0165     0.0000     0.0089
T 14	  0.0128     0.0073     0.0288     0.0068     0.0137     0.0052     0.0095     0.0117     0.0139     0.0172     0.0153     0.0160     0.0137     0.0089     0.0000
