          T    0     T    1     T    2     T    3     T    4     T    5     T    6     T    7     T    8     T    9     T   10     T   11     T   12     T   13     T   14
T  0	  0.0000     0.0049     0.0022     0.0014     0.0017     0.0026     0.0039     0.0010     0.0024     0.0052     0.0193     0.0017     0.0022     0.0073     0.0049
T  1	  0.0049     0.0000     0.0057     0.0047     0.0057     0.0062     0.0081     0.0046     0.0071     0.0093     0.0235     0.0036     0.0059     0.0117     0.0095
T  2	  0.0022     0.0057     0.0000     0.0017     0.0014     0.0014     0.0028     0.0028     0.0022     0.0045     0.0200     0.0028     0.0028     0.0075     0.0054
T  3	  0.0014     0.0047     0.0017     0.0000     0.0017     0.0022     0.0036     0.0017     0.0028     0.0052     0.0202     0.0017     0.0026     0.0079     0.0057
T  4	  0.0017     0.0057     0.0014     0.0017     0.0000     0.0020     0.0028     0.0020     0.0017     0.0042     0.0191     0.0024     0.0020     0.0066     0.0046
T  5	  0.0026     0.0062     0.0014     0.0022     0.0020     0.0000     0.0024     0.0032     0.0026     0.0037     0.0199     0.0032     0.0032     0.0073     0.0056
T  6	  0.0039     0.0081     0.0028     0.0036     0.0028     0.0024     0.0000     0.0042     0.0026     0.0024     0.0186     0.0047     0.0040     0.0062     0.0048
T  7	  0.0010     0.0046     0.0028     0.0017     0.0020     0.0032     0.0042     0.0000     0.0030     0.0055     0.0194     0.0014     0.0024     0.0075     0.0052
T  8	  0.0024     0.0071     0.0022     0.0028     0.0017     0.0026     0.0026     0.0030     0.0000     0.0041     0.0179     0.0039     0.0022     0.0057     0.0032
T  9	  0.0052     0.0093     0.0045     0.0052     0.0042     0.0037     0.0024     0.0055     0.0041     0.0000     0.0177     0.0058     0.0053     0.0053     0.0054
T 10	  0.0193     0.0235     0.0200     0.0202     0.0191     0.0199     0.0186     0.0194     0.0179     0.0177     0.0000     0.0206     0.0184     0.0132     0.0148
T 11	  0.0017     0.0036     0.0028     0.0017     0.0024     0.0032     0.0047     0.0014     0.0039     0.0058     0.0206     0.0000     0.0032     0.0084     0.0064
T 12	  0.0022     0.0059     0.0028     0.0026     0.0020     0.0032     0.0040     0.0024     0.0022     0.0053     0.0184     0.0032     0.0000     0.0065     0.0041
T 13	  0.0073     0.0117     0.0075     0.0079     0.0066     0.0073     0.0062     0.0075     0.0057     0.0053     0.0132     0.0084     0.0065     0.0000     0.0039
T 14	  0.0049     0.0095     0.0054     0.0057     0.0046     0.0056     0.0048     0.0052     0.0032     0.0054     0.0148     0.0064     0.0041     0.0039     0.0000
